ADFGVX-Analyse-Komponente;K/T;
;[K];Kryptoanalyse\ Generisch\ ADFGVX-Analyse-Komponente
;[T];Kryptoanalyse\ Klassisch\ ADFGVX heuristische Analyse

Alphabet-Permutierer;K/T;
;[K];Werkzeuge\ Datenfluss\ Alphabet-Permutierer
;[T];Kryptographie\ Klassisch\ Substitutions-Chiffre mit Passwort

Camellia;K/T;
;[K];Moderne Verfahren\ Symmetrisch\ Camellia
;[T];Kryptographie\ Modern\ Symmetrisch\ Camellia-Chiffre

Zwischenablage-Eingabe;K;
;[K];Werkzeuge\ Daten-Ein-/Ausgabe\ Zwischenablage-Eingabe

Zwischenablage-Ausgabe;K;
;[K];Werkzeuge\ Daten-Ein-/Ausgabe\ Zwischenablage-Ausgabe

Konkatenation;K/T;
;[K];Werkzeuge\ Sonstige\ Konkatenation
;[T];Hash-Funktionen\ CRC Nullprobleme
;[T];Hash-Funktionen\ HMAC
;[T];Hash-Funktionen\ MD5-Kollisionsfinder
;[T];Hash-Funktionen\ MD5 Salted-Hash-Vergleich

Wörterbuch-Suche;K/T;
;[K];Kryptoanalyse\ Generisch\ Wörterbuch-Suche
;[T];Kryptoanalyse\ Klassisch\ Caesar Brute-Force-Analyse
;[T];Kryptoanalyse\ Klassisch\ Skytale Brute-Force-Analyse

Achterbahn;K/T;
;[K];Moderne Verfahren\ Symmetrisch\ Achterbahn
;[T];Kryptographie\ Modern\ Symmetrisch\ Achterbahn-Chiffre

ADFGVX;K/T/W;
;[K];Klassische Verfahren\ ADFGVX
;[T];Kryptoanalyse\ Klassisch\ Wörterbuchangriff auf die ADFGVX-Chiffre
;[T];Kryptographie\ Klassisch\ ADFGVX-Chiffre
;[W];Verschlüsselungsverfahren\ Klassische Verschlüsselungsverfahren\ ADFGVX

Alphabete;K;
;[K];Werkzeuge\ Daten-Ein-/Ausgabe\ Alphabete

Monoalphabetische Substitutionsanalyse;K/T;
;[K];Kryptoanalyse\ Spezifisch\ Monoalphabetische Substitutionsanalyse
;[T];Kryptoanalyse\ Klassisch\ ADFGVX heuristische Analyse
;[T];Kryptoanalyse\ Klassisch\ Angriff auf die monoalphabetische Substitution
